year,mun_code,pop
2000,110001,26533
2000,110037,12708
2000,110040,13118
2000,110034,19832
2000,110002,74503
2000,110045,25668
2000,110003,7518
2000,110060,5372
2000,110004,73568
2000,110070,11463
2000,110080,13107
2000,110090,4212
2000,110005,18207
2000,110092,5521
2000,110006,21892
2000,110007,10459
2000,110008,10208
2000,110094,6536
2000,110009,25688
2000,110100,13641
2000,110010,38045
2000,110110,6822
2000,110011,53600
2000,110012,106800
2000,110013,22739
2000,110120,11342
2000,110130,13154
2000,110140,12627
2000,110014,17067
2000,110033,14778
2000,110143,8233
2000,110050,12276
2000,110015,40884
2000,110145,3622
2000,110018,31752
2000,110146,2527
2000,110020,334661
2000,110025,26365
2000,110147,4311
2000,110026,2937
2000,110028,47382
2000,110029,11603
2000,110148,7056
2000,110149,11085
2000,110032,23874
2000,110150,11655
2000,110155,5618
2000,110160,11140
2000,110170,14880
2000,110175,7737
2000,110180,9863
2000,110030,53598
2000,120001,7935
2000,120005,3490
2000,120010,17013
2000,120013,5826
2000,120017,5206
2000,120020,67441
2000,120025,11028
2000,120030,26722
2000,120032,4454
2000,120033,11095
2000,120034,6374
2000,120035,8295
2000,120080,11418
2000,120039,5485
2000,120040,253059
2000,120042,8093
2000,120043,2246
2000,120050,29420
2000,120045,19761
2000,120060,26037
2000,120070,11956
2000,130002,12150
2000,130006,7308
2000,130008,6563
2000,130010,11320
2000,130014,13864
2000,130030,24345
2000,130040,24197
2000,130050,22579
2000,130060,23219
2000,130063,11038
2000,130068,10482
2000,130070,26959
2000,130080,28619
2000,130083,8803
2000,130090,10737
2000,130100,23421
2000,130110,27554
2000,130115,17267
2000,130120,67096
2000,130130,17507
2000,130140,26074
2000,130150,19060
2000,130160,31509
2000,130165,13220
2000,130170,32796
2000,130180,14759
2000,130185,32303
2000,130190,72105
2000,130195,8406
2000,130200,7309
2000,130220,6584
2000,130230,22500
2000,130240,28956
2000,130250,73695
2000,130255,12711
2000,130260,1405835
2000,130270,38038
2000,130280,17079
2000,130290,40036
2000,130300,15355
2000,130310,23725
2000,130320,9651
2000,130330,17119
2000,130340,90150
2000,130350,17092
