mun_code,year,im,im_perinat,im_cong,im_illdef,im_infec,im_resp,im_endoc,im_exter,im_nerv,im_circ,im_blood,im_digest,im_eye,im_neop,im_apc,im_napc
110000,2000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110000,2001,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
110000,2002,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110000,2005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110000,2006,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
110000,2007,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110000,2008,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110000,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110001,2000,10,4,0,3,2,1,0,0,0,0,0,0,0,0,0,10
110001,2001,12,4,3,0,1,1,1,0,0,1,0,0,1,0,3,9
110001,2002,12,3,1,1,1,5,0,0,0,1,0,0,0,0,0,12
110001,2003,6,2,0,1,2,0,0,0,0,0,0,1,0,0,2,4
110001,2004,5,2,0,0,0,1,0,0,0,0,1,0,1,0,0,5
110001,2005,12,5,2,5,0,0,0,0,0,0,0,0,0,0,0,12
110001,2006,8,4,1,1,1,0,1,0,0,0,0,0,0,0,1,7
110001,2007,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4
110001,2008,8,3,3,1,0,0,0,0,0,0,0,0,1,0,0,8
110001,2009,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4
110001,2010,10,6,2,1,0,0,0,0,0,0,0,0,0,1,0,10
110001,2011,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,6
110001,2012,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,5
110001,2013,7,4,1,1,1,0,0,0,0,0,0,0,0,0,1,6
110001,2014,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110001,2015,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,7
110001,2016,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
110001,2017,5,0,3,0,1,0,0,0,0,0,0,1,0,0,1,4
110001,2018,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2
110001,2019,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3
110002,2000,30,12,2,1,5,5,1,0,1,0,1,0,2,0,6,24
110002,2001,30,21,0,3,4,1,0,0,0,0,1,0,0,0,2,28
110002,2002,32,22,1,1,2,1,1,1,2,0,0,1,0,0,3,29
110002,2003,29,15,4,3,4,1,1,0,0,0,1,0,0,0,4,25
110002,2004,21,13,1,4,1,2,0,0,0,0,0,0,0,0,1,20
110002,2005,20,14,2,1,1,2,0,0,0,0,0,0,0,0,1,19
110002,2006,27,18,4,1,1,2,0,0,0,1,0,0,0,0,0,27
110002,2007,21,13,5,1,0,0,0,2,0,0,0,0,0,0,0,21
110002,2008,39,26,5,2,4,0,0,1,1,0,0,0,0,0,0,39
110002,2009,16,9,5,2,0,0,0,0,0,0,0,0,0,0,0,16
110002,2010,20,14,3,1,1,0,0,1,0,0,0,0,0,0,0,20
110002,2011,15,10,2,1,2,0,0,0,0,0,0,0,0,0,2,13
110002,2012,15,10,3,0,1,1,0,0,0,0,0,0,0,0,1,14
110002,2013,19,10,4,0,1,1,0,2,1,0,0,0,0,0,1,18
110002,2014,23,14,2,0,1,3,0,0,0,2,0,1,0,0,2,21
110002,2015,18,9,3,0,0,5,0,0,0,0,0,0,0,1,0,18
110002,2016,25,10,12,1,1,0,0,0,0,0,0,0,1,0,1,24
110002,2017,23,11,6,2,2,0,0,0,0,0,1,1,0,0,2,21
110002,2018,26,15,3,0,2,2,0,1,1,1,1,0,0,0,2,24
110002,2019,18,8,6,0,1,0,0,0,2,0,0,1,0,0,1,17
110003,2000,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
110003,2001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110003,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2004,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4
110003,2006,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110003,2008,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
110003,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110003,2011,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110003,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2014,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110003,2015,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
110003,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110003,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110004,2000,27,18,3,0,1,1,0,0,3,0,1,0,0,0,1,26
110004,2001,28,17,7,3,0,0,1,0,0,0,0,0,0,0,0,28
110004,2002,37,21,4,2,3,3,1,1,1,0,0,1,0,0,3,34
110004,2003,21,15,2,2,1,0,1,0,0,0,0,0,0,0,1,20
110004,2004,24,16,3,0,1,1,0,2,0,0,1,0,0,0,2,22
110004,2005,21,15,2,2,0,2,0,0,0,0,0,0,0,0,0,21
110004,2006,24,12,7,0,0,1,0,0,3,1,0,0,0,0,0,24
110004,2007,18,12,4,0,0,1,0,1,0,0,0,0,0,0,0,18
110004,2008,20,12,5,1,0,0,1,1,0,0,0,0,0,0,1,19
110004,2009,23,11,6,0,3,2,0,1,0,0,0,0,0,0,2,21
110004,2010,15,8,3,0,1,2,0,0,0,0,0,0,1,0,0,15
110004,2011,12,7,4,0,0,0,0,1,0,0,0,0,0,0,0,12
110004,2012,17,10,3,0,0,0,0,3,0,1,0,0,0,0,0,17
110004,2013,18,12,3,0,1,0,0,0,0,2,0,0,0,0,0,18
110004,2014,23,13,7,0,1,0,0,1,1,0,0,0,0,0,0,23
110004,2015,25,11,6,0,3,3,0,1,0,0,0,1,0,0,2,23
110004,2016,17,11,5,0,0,0,0,0,0,1,0,0,0,0,0,17
110004,2017,14,8,2,0,1,2,0,1,0,0,0,0,0,0,2,12
110004,2018,19,8,7,0,1,0,0,0,0,1,0,0,1,1,0,19
110004,2019,7,2,1,0,2,0,1,1,0,0,0,0,0,0,1,6
110005,2000,5,1,0,1,1,1,1,0,0,0,0,0,0,0,1,4
110005,2001,5,2,1,0,0,0,0,0,1,0,0,1,0,0,0,5
110005,2002,9,5,2,1,0,1,0,0,0,0,0,0,0,0,1,8
110005,2003,9,5,0,0,3,1,0,0,0,0,0,0,0,0,1,8
110005,2004,5,3,0,0,0,2,0,0,0,0,0,0,0,0,1,4
110005,2005,5,2,0,1,0,0,0,2,0,0,0,0,0,0,0,5
110005,2006,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
110005,2007,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3
110005,2008,5,1,1,0,1,0,0,2,0,0,0,0,0,0,0,5
110005,2009,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110005,2010,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
110005,2011,4,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3
110005,2012,6,2,1,0,0,0,0,2,0,0,0,1,0,0,0,6
110005,2013,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3
110005,2014,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,4
110005,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110005,2016,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2
110005,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110005,2018,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4
110005,2019,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
110006,2000,8,4,0,1,0,2,1,0,0,0,0,0,0,0,1,7
110006,2001,7,4,0,1,0,1,0,0,0,0,0,0,1,0,0,7
110006,2002,5,4,0,0,0,1,0,0,0,0,0,0,0,0,1,4
110006,2003,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110006,2004,8,6,1,0,1,0,0,0,0,0,0,0,0,0,1,7
110006,2005,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3
110006,2006,10,7,0,2,1,0,0,0,0,0,0,0,0,0,0,10
